algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.397,9507,8
QuickSort,random,1000,0.404,21300,5
QuickSelect,random,1000,0.082,3922,11
MergeSort,sorted,1000,0.132,4236,8
QuickSort,sorted,1000,0.323,15638,6
QuickSelect,sorted,1000,0.017,4073,12
MergeSort,duplicates,1000,0.208,9071,8
QuickSort,duplicates,1000,0.463,5078,2
QuickSelect,duplicates,1000,0.082,3609,4
MergeSort,random,10000,5.072,127241,11
QuickSort,random,10000,5.409,226237,8
QuickSelect,random,10000,0.762,66413,19
MergeSort,sorted,10000,0.320,59248,11
QuickSort,sorted,10000,2.439,236523,8
QuickSelect,sorted,10000,0.103,73297,18
MergeSort,duplicates,10000,0.666,121412,11
QuickSort,duplicates,10000,0.200,49838,3
QuickSelect,duplicates,10000,0.156,40189,5
MergeSort,random,100000,11.045,1639658,14
QuickSort,random,100000,12.336,2982300,11
QuickSelect,random,100000,1.554,479669,15
MergeSort,sorted,100000,3.194,744016,14
QuickSort,sorted,100000,8.720,3119985,11
QuickSelect,sorted,100000,0.589,455280,25
MergeSort,duplicates,100000,6.391,1561528,14
QuickSort,duplicates,100000,1.954,560324,2
QuickSelect,duplicates,100000,1.251,369500,3
MergeSort,random,1000000,128.661,19891603,18
QuickSort,random,1000000,152.365,37159263,13
QuickSelect,random,1000000,16.478,4334954,24
MergeSort,sorted,1000000,44.354,9071040,18
QuickSort,sorted,1000000,100.945,35995458,13
QuickSelect,sorted,1000000,7.385,5301524,21
MergeSort,duplicates,1000000,77.186,18921725,18
QuickSort,duplicates,1000000,19.657,4898845,3
QuickSelect,duplicates,1000000,13.333,4203424,5
